Nom,Prix,Site web,Catégorie,Date de collecte,Promotions
Logitech K400 Plus Clavier sans Fil Touch TV avec Contrôle Média et Pavé Tactile- Noir,349.00 MAD,Jumia.ma,Keyboards,2024-12-08,-39.00MAD
Logitech Brio 100 Full HD Webcam USB,399.00 MAD,Jumia.ma,Webcams,2024-12-08,Aucune
Logitech Pebble Keys 2 K380s clavier sans fil Bluetooth multidispositif,369.00 MAD,Jumia.ma,Keyboards,2024-12-08,-69.00MAD
Logitech G815 LIGHTSPEED RGB Mechanical Gaming Keyboard,1799.00 MAD,Jumia.ma,Keyboards,2024-12-08,-199.00MAD
Logitech H390 Usb Computer Headset,329.00 MAD,Jumia.ma,Computer Headsets,2024-12-08,-39.00MAD
XIAOMI WiFi Range Extender N300,99.00 MAD,Jumia.ma,Routers,2024-12-08,Aucune
XIAOMI Gaming Monitor G27i,1499.00 MAD,Jumia.ma,Non spécifiée,2024-12-08,Aucune
"XIAOMI Mi LCD Writing Tablet 13.5""",99.00 MAD,Jumia.ma,Graphics Tablets,2024-12-08,Aucune
Canon Jet d'encre Pixma TS3340 MFP Wifi,499.00 MAD,Jumia.ma,Inkjet Printers,2024-12-08,Aucune
Support pliable pour ordinateur Portable Mac et PC,59.99 MAD,Jumia.ma,Mounts,2024-12-08,Aucune
Logitech H111 Casque Filaire,99.00 MAD,Jumia.ma,Computer Headsets,2024-12-08,-20.00MAD
Logitech M171 Souris Sans Fil pour PC,99.00 MAD,Jumia.ma,Mice,2024-12-08,Aucune
Hub USB Hub Adaptateur Conception à 4 Ports USB 3.0 à Haute Vitesse,39.90 MAD,Jumia.ma,USB-to-USB Adapters,2024-12-08,Aucune
Toshiba Disque dur HDD 1TB,385.00 MAD,Jumia.ma,External Hard Drives,2024-12-08,Aucune
Tapis de Souris Pour PC Bureau,21.99 MAD,Jumia.ma,Keyboard & Mice Accessories,2024-12-08,Aucune
mifoy Souris Gaming USB GM100 6 Boutons RGB Capteur Optique 1200 à 3200 DPI LED,89.00 MAD,Jumia.ma,PC Game Hardware,2024-12-08,Aucune
