nom_produit,prix,site_web,categorie,date_collecte,promotions
,1499.0,Jumia.ma,,2025-02-03 01:02:52,
,2959.0,Jumia.ma,,2025-02-03 01:02:52,
,1249.0,Jumia.ma,,2025-02-03 01:02:52,
,3900.0,Jumia.ma,,2025-02-03 01:02:52,
,385.0,Jumia.ma,,2025-02-03 01:02:52,
,3995.0,Jumia.ma,Notebooks,2025-02-03 01:02:52,
,499.0,Jumia.ma,,2025-02-03 01:02:52,
,139.0,Jumia.ma,,2025-02-03 01:02:52,
,655.0,Jumia.ma,,2025-02-03 01:02:52,
,2699.0,Jumia.ma,,2025-02-03 01:02:52,
,3999.0,Jumia.ma,Netbooks,2025-02-03 01:02:52,
,6679.0,Jumia.ma,Macbooks,2025-02-03 01:02:52,
,120.0,Jumia.ma,Music Controllers,2025-02-03 01:02:52,
,1499.0,Jumia.ma,,2025-02-03 01:02:52,
,99.0,Jumia.ma,,2025-02-03 01:02:52,
,119.0,Jumia.ma,,2025-02-03 01:02:52,
,149.0,Jumia.ma,,2025-02-03 01:02:52,
,20500.0,Jumia.ma,,2025-02-03 01:02:52,
,129.0,Jumia.ma,,2025-02-03 01:02:52,
,49.0,Jumia.ma,,2025-02-03 01:02:52,
,185.0,Jumia.ma,,2025-02-03 01:02:52,
,115.0,Jumia.ma,,2025-02-03 01:02:52,
Logitech K400 Plus Clavier sans Fil Touch TV avec Contrôle Média et Pavé Tactile- Noir,349.0,Jumia.ma,,2025-02-03 01:02:52,37%
Logitech Brio 100 Full HD Webcam USB - ROSE,399.0,Jumia.ma,,2025-02-03 01:02:52,37%
"Logitech Pebble Keys 2 K380s clavier sans fil Bluetooth multidispositif, raccourcis personnalisables, fin et portable, Easy-Switch pour Windows, macOS, iPadOS, Android, ChromeOS- Rose",369.0,Jumia.ma,,2025-02-03 01:02:52,37%
Logitech G815 LIGHTSPEED RGB Mechanical Gaming Keyboard – GL Tactile - CARBON - FRA - USB - CENTRAL-419 - TACTILE SWITCH,1799.0,Jumia.ma,,2025-02-03 01:02:52,18%
Logitech H390 Usb Computer Headset - Noir,329.0,Jumia.ma,,2025-02-03 01:02:52,27%
XIAOMI WiFi Range Extender N300 – White,99.0,Jumia.ma,,2025-02-03 01:02:52,38%
"Logitech M171 Souris Sans Fil pour PC, Mac, Ordinateur portable, 2,4 GHz avec Mini-récepteur USB, Suivi Optique, Autonomie de Piles de 12 mois, Ambidextre- Noir",99.0,Jumia.ma,,2025-02-03 01:02:52,41%
XIAOMI Gaming Monitor G27i – Noir,1499.0,Jumia.ma,,2025-02-03 01:02:52,26%
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",57.0,Jumia.ma,,2025-02-03 01:02:52,82%
"XIAOMI Mi LCD Writing Tablet 13.5"" - Blanc",99.0,Jumia.ma,,2025-02-03 01:02:52,34%
"Toshiba Disque dur HDD 1TB / 1TO externe  "" 1000GB """,385.0,Jumia.ma,,2025-02-03 01:02:52,33%
Canon Jet d'encre Pixma TS3340 MFP Wifi,499.0,Jumia.ma,,2025-02-03 01:02:52,38%
mifoy Souris Gaming USB GM100 6 Boutons RGB Capteur Optique 1200 à 3200 DPI LED - Noir,89.0,Jumia.ma,,2025-02-03 01:02:52,71%
"Logitech H111 Casque Filaire, Ecouteurs Stéréo avec Micro Anti-Parasite, Jack Audio 3,5mm, PC/Mac/Portable/Smartphone/Tablette - Noir",99.0,Jumia.ma,,2025-02-03 01:02:52,41%
Support pour pc portable en aluminium ajustables en 7 positions multifonction,59.99,Jumia.ma,,2025-02-03 01:02:52,33%
"Tapis de Souris Pour PC Bureau, PC Portable",21.99,Jumia.ma,,2025-02-03 01:02:52,37%
Razer Tapis de souris Crystals 900 x 300 MM Tapis gamer souris et clavier Gaming Mouse Pad,49.0,Jumia.ma,,2025-02-03 01:02:52,
Hub USB Hub Adaptateur Conception à 4 Ports USB 3.0 à Haute Vitesse,39.9,Jumia.ma,,2025-02-03 01:02:52,37%
"Casque Gamer Headset Gaming G9000 Lumière LED 3,5 mm Pour Telephone PS4 PC XBOX",139.0,Jumia.ma,,2025-02-03 01:02:52,44%
mifoy M10 Souris Filaire Optique USB Effet Lumineuse RGB E-sport pour Ordinateur,49.0,Jumia.ma,,2025-02-03 01:02:52,56%
SH 3200 DPI réglables et 7D LED Optique Souris de jeu filaire USB pour Gamer PC,65.0,Jumia.ma,,2025-02-03 01:02:52,73%
"Souris rechargeable portable sans fil silencieuse compatible Bluetooth et USB 2,4 GHz.",79.0,Jumia.ma,,2025-02-03 01:02:52,47%
Adaptateur hdmi vga - hdmi vert vga - hdmi to vga,39.0,Jumia.ma,,2025-02-03 01:02:52,40%
"Mini clavier et souris sans fil Bluetooth pour PC, ipad, téléphone, tablette",149.0,Jumia.ma,,2025-02-03 01:02:52,65%
mifoy Pack Combo Clavier de Jeu + Souris GM100 6 Boutons RGB Capteur Optique DPI LED,149.0,Jumia.ma,,2025-02-03 01:02:52,69%
"Logitech K120 Clavier Filaire pour Windows, USB Plug-and-Play, Taille Standard, Résistant Eclaboussures, Barre D'Espacement Incurvée, Compatible PC, Ordinateur Portable- Noir",89.0,Jumia.ma,,2025-02-03 01:02:52,40%
"Logitech G502 HERO Souris Gaming Filaire Haute Performance, Capteur Gaming HERO 25K, 25 600 PPP, RVB, Poids Ajustable, 11 Boutons Programmables, Mémoire Intégrée, PC/Mac - Noir",499.0,Jumia.ma,,2025-02-03 01:02:52,37%
"SH Pack gaming all in one 4 en 1 clavier gamer, souris 7 buttons + casque et tapis",299.0,Jumia.ma,,2025-02-03 01:02:52,54%
"Cle Adaptateur Bluetooth 5.0 USB, Adaptateur Bluetooth - Pour Casque PC Bureau Portable Telephone",29.0,Jumia.ma,,2025-02-03 01:02:52,56%
Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,80.45,Jumia.ma,,2025-02-03 01:02:52,46%
Western Digital Disque dur Externe 500GB - WD Elements™ - USB 3.0,219.0,Jumia.ma,,2025-02-03 01:02:52,71%
Jio Modem 4G LTE JioFi WD680+ WiFi Hotspot avec batterie 2100mAH 10 heures,190.0,Jumia.ma,,2025-02-03 01:02:52,82%
Kingston Clé USB - 64GB - USB Pour Stockage - USB 3.2 - DataTraveler EXODIA,78.0,Jumia.ma,,2025-02-03 01:02:52,35%
Jedel Souris Gaming Sans fil Originale Mouse Optique Wireless,54.0,Jumia.ma,,2025-02-03 01:02:52,39%
Sac à dos d'affaires USB multifonctionnel étanche voyage sac à dos pour pc plusieurs compartiments,210.0,Jumia.ma,,2025-02-03 01:02:52,48%
SH Pack Combo Gaming Clavier + Souris 7D USB RGB,210.0,Jumia.ma,,2025-02-03 01:02:52,67%
Otg Adaptateur OTG de type C à USB 3.0,24.99,Jumia.ma,,2025-02-03 01:02:52,
"Sandisk Clé USB 128GB V2.0 Flash Drive, Cruzer Blade DataTraveler",113.0,Jumia.ma,,2025-02-03 01:02:52,27%
Tapis de souris Repose-poignet souple pour ordinateur de bureau,39.0,Jumia.ma,,2025-02-03 01:02:52,48%
"Support PC Portable, Téléphone et Tablette, Alliage Aluminium, Réglable",57.0,Jumia.ma,,2025-02-03 01:02:52,12%
