Nom,Prix,Prix réduit,Lien,Site web,Catégorie,Date de collecte
"Gigabyte G5 KF5-H3FR353SD – Core™ i7 13th, RTX 4060, 16GB, 512GB","13,299.00MAD","14,999.00MAD",https://setupgame.ma/produit/pc-portable-gaming-gigabyte-g5-kf5-h3fr353sd/,Setup Game,PC Portable,2025-02-03 01:44:16
"ASUS TUF F15 FX506LH-HN004T – Core™ i5 10th, GTX 1650, 8GB, 512GB","6,599.00MAD","7,899.00MAD",https://setupgame.ma/produit/pc-portable-asus-f15-tuf506lh-gtx-1650-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"ASUS TUF F15 FX506LH-HN004W – Core™ i5 10th, GTX 1650, 8GB, 512GB","6,599.00MAD","7,899.00MAD",https://setupgame.ma/produit/pc-portable-asus-f15-tuf506lw-gtx-1650-prix-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"ASUS TUF F15 FX506LH-HN004T – Core™ i5 10th, GTX 1650, 16GB, 512GB","6,899.00MAD","8,299.00MAD",https://setupgame.ma/produit/pc-portable-asus-f15-tuf506lh-i5-10th-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"ASUS TUF F15 FX506LH-HN004W – Core™ i5 10th, GTX 1650, 16GB, 512GB","6,899.00MAD","8,299.00MAD",https://setupgame.ma/produit/pc-portable-asus-f15-tuf506lh-i5-10th-prix-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"LENOVO GAMING 3 15ACH6 – Ryzen 5 5500H, RTX 2050, 16GB, 512GB","7,749.00MAD","9,249.00MAD",https://setupgame.ma/produit/lenovo-gaming-3-15ach6-rtx-2050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"HP PAVILION GAMING 15-EC2011NK – Ryzen R5-5600H, RTX 3050, 8GB, 512Go","7,890.00MAD","8,690.00MAD",https://setupgame.ma/produit/hp-pavilion-gaming-15-ec2011nk-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"LENOVO LOQ 15IAX9 – Core™ i5 12th, RTX 2050, 16GB, 512GB","7,899.00MAD","8,999.00MAD",https://setupgame.ma/produit/pc-portable-lenovo-loq-15iax9-rtx-2050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
"MSI GF63 11SC-658XMA – Core™ i5 11th, GTX 1650, 8GB, 512GB","7,990.00MAD","8,990.00MAD",https://setupgame.ma/produit/msi-gf63-thin-11sc-gtx-1650/,Setup Game,PC Portable,2025-02-03 01:44:16
"ERAZER Crawler E30e – Core™ i5 12th, RTX 2050, 8GB, 512GB","7,999.00MAD","9,599.00MAD",https://setupgame.ma/produit/pc-portable-erazer-crawler-e30e-rtx-2050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:16
